Airport Name,City,IATA,latitude,longitude
Apalachicola Regional Airport,Apalachicola,AAF,29.72750092,-85.02749634
Andrau Airpark,Houston,AAP,29.72249985,-95.58830261
Lehigh Valley International Airport,Allentown,ABE,40.65209961,-75.44080353
Abilene Regional Airport,Abilene,ABI,32.41130066,-99.68190002
Ambler Airport,Ambler,ABL,67.1063,-157.856989
Albuquerque International Sunport,Albuquerque,ABQ,35.040199,-106.609001
Aberdeen Regional Airport,Aberdeen,ABR,45.44910049,-98.42179871
Southwest Georgia Regional Airport,Albany,ABY,31.53549957,-84.19450378
Nantucket Memorial Airport,Nantucket,ACK,41.25310135,-70.06020355
Waco Regional Airport,Waco,ACT,31.61129951,-97.23049927
California Redwood Coast-Humboldt County Airport,Arcata CA,ACV,40.978101,-124.109
Atlantic City International Airport,Atlantic City,ACY,39.45759964,-74.57720184
Adak Airport,Adak Island,ADK,51.87799835,-176.6459961
Ardmore Municipal Airport,Ardmore,ADM,34.30301,-97.0196342
Kodiak Airport,Kodiak,ADQ,57.75,-152.4940033
Addison Airport,Addison,ADS,32.96860123,-96.83640289
Ada Regional Airport,Ada,ADT,34.804298,-96.671303
Joint Base Andrews,Camp Springs,ADW,38.810799,-76.866997
Allakaket Airport,Allakaket,AET,66.55180359,-152.621994
Alexandria International Airport,Alexandria,AEX,31.32740021,-92.54979706
Fort Worth Alliance Airport,Fort Worth,AFW,32.98759842,-97.31880188
Allegheny County Airport,Pittsburgh,AGC,40.35440063,-79.93019867
Angoon Seaplane Base,Angoon,AGN,57.503601,-134.585007
Augusta Regional At Bush Field,Bush Field,AGS,33.36989975,-81.96450043
Athens Ben Epps Airport,Athens,AHN,33.94860077,-83.32630157
Alliance Municipal Airport,Alliance,AIA,42.05319977,-102.8040009
Anderson Municipal Darlington Field,ANDERSON,AID,40.10860062,-85.61299896
Aiken Regional Airport,Aiken,AIK,33.649399,-81.684998
Wainwright Airport,Wainwright,AIN,70.63800049,-159.9949951
Lee C Fine Memorial Airport,Kaiser Lake Ozark,AIZ,38.09600067,-92.54949951
Atka Airport,Atka,AKB,52.22029877,-174.2059937
Akron Fulton International Airport,Akron,AKC,41.03749847,-81.46690369
Akiak Airport,Akiak,AKI,60.9029007,-161.2310028
Akhiok Airport,Akhiok,AKK,56.93870163,-154.1829987
King Salmon Airport,King Salmon,AKN,58.67679977,-156.6490021
Colorado Plains Regional Airport,Akron,AKO,40.17559814,-103.2220001
Anaktuvuk Pass Airport,Anaktuvuk Pass,AKP,68.13359833,-151.7429962
Albany International Airport,Albany,ALB,42.74829865,-73.80169678
Alpine Casparis Municipal Airport,Alpine,ALE,30.38419914,-103.6839981
Alice International Airport,Alice,ALI,27.74090004,-98.02690125
Alamogordo White Sands Regional Airport,Alamogordo,ALM,32.83990097,-105.9909973
St Louis Regional Airport,Alton/St Louis,ALN,38.89030075,-90.04599762
Waterloo Regional Airport,Waterloo,ALO,42.55709839,-92.40029907
San Luis Valley Regional Bergman Field,Alamosa,ALS,37.434898,-105.866997
Walla Walla Regional Airport,Walla Walla,ALW,46.09489822,-118.288002
Thomas C Russell Field,Alexander City,ALX,32.91469955,-85.96299744
Rick Husband Amarillo International Airport,Amarillo,AMA,35.219398,-101.706001
Anniston Regional Airport,Anniston,ANB,33.5882,-85.8581
Ted Stevens Anchorage International Airport,Anchorage,ANC,61.17440033,-149.9960022
Anderson Regional Airport,Andersen,AND,34.49459839,-82.70939636
Aniak Airport,Aniak,ANI,61.58160019,-159.5429993
Annette Island Airport,Annette Island,ANN,55.04240036,-131.5720062
Lee Airport,Annapolis,ANP,38.942902,-76.568398
Tri State Steuben County Airport,Angola,ANQ,41.639702,-85.083504
Anvik Airport,Anvik,ANV,62.646702,-160.190994
Lima Allen County Airport,Lima,AOH,40.706902,-84.026703
Altoona Blair County Airport,Altoona,AOO,40.29639816,-78.31999969
Centennial Airport,Denver,APA,39.57009888,-104.848999
Napa County Airport,Napa,APC,38.2132,-122.280998
Naples Municipal Airport,Naples,APF,26.15259933,-81.77529907
Phillips Army Air Field,Aberdeen,APG,39.466202,-76.1688
Alpena County Regional Airport,Alpena,APN,45.0780983,-83.56030273
Marion County Brown Field,Jasper,APT,35.060699,-85.585297
Acadiana Regional Airport,Louisiana,ARA,30.0378,-91.883904
Ann Arbor Municipal Airport,Ann Arbor,ARB,42.22299957,-83.74559784
Arctic Village Airport,Arctic Village,ARC,68.1147,-145.578995
Watertown International Airport,Watertown,ART,43.9919014,-76.021698
Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff,ARV,45.92789841,-89.73090363
Aspen-Pitkin Co/Sardy Field,Aspen,ASE,39.22320175,-106.8690033
Boire Field,Nashua,ASH,42.78170013,-71.51480103
Talladega Municipal Airport,Talladega,ASN,33.56990051,-86.05090332
Astoria Regional Airport,Astoria,AST,46.15800095,-123.8789978
Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,ATK,70.46730042,-157.4360046
Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,33.6367,-84.428101
Ohio University Snyder Field,Athens,ATO,39.21099854,-82.23139954
Appleton International Airport,Appleton,ATW,44.2580986,-88.51909637
Watertown Regional Airport,Watertown,ATY,44.91400146,-97.15470123
Augusta State Airport,Augusta,AUG,44.3205986,-69.79730225
Alakanuk Airport,Alakanuk,AUK,62.68004227,-164.6599274
Auburn University Regional Airport,Auburn,AUO,32.615101,-85.433998
Austin Bergstrom International Airport,Austin,AUS,30.19449997,-97.66989899
Wausau Downtown Airport,Wausau,AUW,44.92620087,-89.62660217
Asheville Regional Airport,Asheville,AVL,35.43619919,-82.54180145
Avon Park Executive Airport,Avon Park,AVO,27.59119987,-81.52780151
Wilkes Barre Scranton International Airport,Scranton,AVP,41.33850098,-75.7233963
Marana Regional Airport,Tucson,AVW,32.4095993,-111.2180023
Catalina Airport,Catalina Island,AVX,33.4049,-118.416
Chandler Field,Alexandria,AXN,45.86629868,-95.3946991
Waycross Ware County Airport,Waycross,AYS,31.24909973,-82.39550018
Phoenix-Mesa-Gateway Airport,Mesa,AZA,33.30780029,-111.6549988
Kalamazoo Battle Creek International Airport,Kalamazoo,AZO,42.23490143,-85.55210114
Beale Air Force Base,Marysville,BAB,39.13610077,-121.4369965
Barksdale Air Force Base,Shreveport,BAD,32.50180054,-93.66269684
Westfield-Barnes Regional Airport,Westfield,BAF,42.157799,-72.715599
Bay City Municipal Airport,Bay City,BBC,28.97330093,-95.8635025
Curtis Field,Brady,BBD,31.17930031,-99.32389832
Wings Field,Philadelphia,BBX,40.13750076,-75.26509857
Bryce Canyon Airport,Bryce Canyon,BCE,37.70640183,-112.1449966
